2025-08-08 09:14:19,968 | smart_irrigation_system.main | INFO | Initializing Smart Irrigation System...
2025-08-08 09:14:19,975 | IrrigationController | DEBUG | Global configuration loaded successfully.
2025-08-08 09:14:19,977 | RelayValve-1 | INFO | RelayValve initialized on pin 1
2025-08-08 09:14:19,977 | IrrigationCircuit-1 | INFO | Irrigation Circuit 1 initialized with state IDLE.
2025-08-08 09:14:19,977 | RelayValve-2 | INFO | RelayValve initialized on pin 2
2025-08-08 09:14:19,978 | IrrigationCircuit-2 | INFO | Irrigation Circuit 2 initialized with state IDLE.
2025-08-08 09:14:19,978 | RelayValve-3 | INFO | RelayValve initialized on pin 3
2025-08-08 09:14:19,978 | IrrigationCircuit-3 | INFO | Irrigation Circuit 3 initialized with state IDLE.
2025-08-08 09:14:19,978 | IrrigationController | DEBUG | Zones configuration loaded successfully with 3 circuits.
2025-08-08 09:14:19,979 | IrrigationController | DEBUG | Initializing global conditions provider...
2025-08-08 09:14:19,979 | RecentWeatherFetcher | DEBUG | Testing API secrets validity with URL: https://api.ecowitt.net/api/v3/device/history
2025-08-08 09:14:20,554 | RecentWeatherFetcher | INFO | API secrets validated successfully.
2025-08-08 09:14:20,555 | RecentWeatherFetcher | INFO | RecentWeatherFetcher initialized.
2025-08-08 09:14:20,556 | IrrigationController | INFO | Global conditions provider initialized as RecentWeatherFetcher.
2025-08-08 09:14:20,560 | CircuitStateManager | INFO | CircuitStateManager initialized
2025-08-08 09:14:20,561 | IrrigationController | INFO | Threading is supported in this environment.
2025-08-08 09:14:20,561 | IrrigationController | INFO | Environment: development
2025-08-08 09:14:20,561 | IrrigationController | INFO | IrrigationController initialized with 3 circuits.
2025-08-08 09:14:20,577 | Button-17 | WARNING | Button initialized, but GPIO support is not available. Using dummy GPIO.
2025-08-08 09:14:20,577 | smart_irrigation_system.main | INFO | Starting Smart Irrigation System on PC environment.
2025-08-08 09:14:20,578 | smart_irrigation_system.main | DEBUG | Evaluating irrigation time. Current time: 09:14, 
2025-08-08 09:14:20,578 | smart_irrigation_system.main | DEBUG | Current time 09:14 matches irrigation time 09:15 within tolerance of 1 minutes.
2025-08-08 09:14:20,579 | IrrigationController | INFO | Starting automatic irrigation process...
2025-08-08 09:14:20,579 | RecentWeatherFetcher | DEBUG | Performing API call to https://api.ecowitt.net/api/v3/device/history with params: {'application_key': '***', 'api_key': '***', 'mac': '***', 'start_date': '2025-08-07 09:14:20', 'end_date': '2025-08-08 09:14:20', 'cycle_type': '30min', 'call_back': 'outdoor.temperature', 'temp_unitid': '1'}
2025-08-08 09:14:21,232 | RecentWeatherFetcher | DEBUG | Fetched list: ['18.6', '20.0', '20.7', '21.7', '22.5', '22.8', '23.0', '22.8', '23.3', '24.0', '24.1', '24.9', '24.5', '24.6', '24.1', '24.6', '24.1', '23.9', '23.8', '23.0', '21.9', '20.2', '18.3', '17.5', '16.6', '15.8', '15.1', '14.8', '14.6', '14.5', '14.2', '14.1', '13.6', '13.7', '13.6', '12.9', '12.5', '11.9', '11.8', '11.3', '11.3', '11.8', '12.3', '13.9', '16.1', '17.1']
2025-08-08 09:14:21,233 | RecentWeatherFetcher | DEBUG | Cached temperatures updated.
2025-08-08 09:14:21,233 | RecentWeatherFetcher | DEBUG | Cached 46 from 46 temperatures fetched from API.
2025-08-08 09:14:21,234 | IrrigationController | INFO | Global conditions updated: Temperature: 18.31 °C, Rain: 5.00 mm, Sunlight: 10.00 hours, Timestamp: 2025-08-08T09:14:21.233418
2025-08-08 09:14:21,234 | IrrigationController | INFO | Performing concurrent irrigation...
2025-08-08 09:14:21,236 | IrrigationController | DEBUG | Waiting for all irrigation threads to finish...
2025-08-08 09:14:21,238 | IrrigationController | INFO | Starting irrigation for circuit 1...
2025-08-08 09:14:21,238 | RecentWeatherFetcher | DEBUG | Using cached current conditions.
2025-08-08 09:14:21,239 | IrrigationController | INFO | Starting irrigation for circuit 3...
2025-08-08 09:14:21,239 | IrrigationCircuit-1 | DEBUG | Base target water amount is 30.0 liters (even area mode).
2025-08-08 09:14:21,239 | RecentWeatherFetcher | DEBUG | Using cached current conditions.
2025-08-08 09:14:21,239 | IrrigationController | INFO | Starting irrigation for circuit 2...
2025-08-08 09:14:21,240 | IrrigationCircuit-1 | DEBUG | Adjusted water amount is 21.282 liters. Total adjustment is -0.29.
2025-08-08 09:14:21,240 | IrrigationCircuit-3 | DEBUG | Base target water amount is 3.2 liters (non-even area mode).
2025-08-08 09:14:21,240 | RecentWeatherFetcher | DEBUG | Using cached current conditions.
2025-08-08 09:14:21,241 | IrrigationCircuit-1 | INFO | Starting irrigation for 91 seconds.
